Date/Time,V10,D10,V70,D70,V80,D80
2019-01-09_00:00:00,11.817,57.3,13.834,295.7,14.273,45.7
2019-01-09_01:00:00,10.533,52.8,12.753,289.7,13.299,39.5
2019-01-09_02:00:00,10.051,53.8,12.082,290.4,12.479,40.2
2019-01-09_03:00:00,10.631,55.6,11.937,292.7,12.300,42.7
2019-01-09_04:00:00,10.669,55.0,11.944,292.9,12.262,42.5
2019-01-09_05:00:00,9.372,55.8,10.596,291.5,10.908,41.3
2019-01-09_06:00:00,9.740,55.2,11.025,292.5,11.313,42.0
2019-01-09_07:00:00,9.483,54.2,10.863,291.3,11.194,41.0
2019-01-09_08:00:00,9.580,56.7,10.929,291.3,11.284,41.2
2019-01-09_09:00:00,8.785,52.1,10.885,287.3,11.278,37.2
2019-01-09_10:00:00,8.159,52.3,9.855,286.9,10.269,37.0
2019-01-09_11:00:00,8.966,50.7,11.286,287.7,11.710,37.5
2019-01-09_12:00:00,8.313,52.2,10.272,287.8,10.609,37.3
2019-01-09_13:00:00,8.070,50.8,9.811,286.5,10.256,36.1
2019-01-09_14:00:00,7.993,47.6,9.422,284.7,9.737,33.9
2019-01-09_15:00:00,9.363,41.1,10.104,278.8,10.464,28.1
2019-01-09_16:00:00,8.304,45.6,9.956,283.2,10.336,32.5
2019-01-09_17:00:00,7.627,46.6,9.891,285.9,10.369,35.5
2019-01-09_18:00:00,8.800,40.1,9.381,282.1,9.719,30.9
2019-01-09_19:00:00,7.808,42.0,8.627,282.7,8.867,31.2
2019-01-09_20:00:00,7.344,41.7,8.634,282.8,8.909,31.7
2019-01-09_21:00:00,7.450,37.0,7.980,280.2,8.154,29.4
2019-01-09_22:00:00,6.709,38.1,7.375,279.5,7.616,28.8
2019-01-09_23:00:00,6.550,33.6,7.119,279.2,7.382,29.0
2019-01-10_00:00:00,5.593,37.6,6.088,281.8,6.325,31.7
2019-01-10_01:00:00,4.870,43.9,6.066,285.7,6.396,35.6
2019-01-10_02:00:00,4.533,54.9,4.968,288.4,5.139,38.0
2019-01-10_03:00:00,5.009,59.3,5.003,292.5,5.075,40.8
2019-01-10_04:00:00,4.227,60.8,4.177,294.7,4.236,44.0
2019-01-10_05:00:00,3.428,57.7,3.463,297.8,3.525,48.0
2019-01-10_06:00:00,3.922,55.6,3.968,296.3,3.986,45.7
2019-01-10_07:00:00,3.426,56.5,3.276,298.3,3.341,47.3
2019-01-10_08:00:00,3.455,86.6,3.797,326.9,3.850,78.8
2019-01-10_09:00:00,3.952,76.7,4.229,315.2,4.279,66.0
2019-01-10_10:00:00,4.269,68.8,4.722,308.8,4.803,58.7
2019-01-10_11:00:00,5.197,57.0,5.772,299.1,5.860,50.0
2019-01-10_12:00:00,6.006,54.7,6.986,294.9,7.100,45.2
2019-01-10_13:00:00,6.755,53.2,7.844,295.0,8.070,45.8
2019-01-10_14:00:00,5.694,52.8,6.712,293.4,6.878,44.3
2019-01-10_15:00:00,6.181,53.1,7.289,294.9,7.509,44.9
2019-01-10_16:00:00,6.428,47.9,8.203,287.7,8.618,37.4
2019-01-10_17:00:00,6.395,46.2,7.841,286.2,8.278,36.1
2019-01-10_18:00:00,6.181,43.4,8.341,286.2,8.889,35.8
2019-01-10_19:00:00,6.169,48.1,8.078,288.8,8.503,38.4
2019-01-10_20:00:00,5.709,47.1,7.685,288.2,8.141,38.0
2019-01-10_21:00:00,5.460,46.4,6.774,288.6,7.101,38.7
2019-01-10_22:00:00,4.809,42.8,6.193,287.4,6.530,37.4
2019-01-10_23:00:00,4.230,46.7,5.854,291.1,6.137,41.1
2019-01-11_00:00:00,4.703,45.4,5.975,287.3,6.232,37.2
2019-01-11_01:00:00,4.657,37.8,4.991,278.3,5.152,28.1
2019-01-11_02:00:00,3.957,41.6,4.505,279.5,4.648,29.0
2019-01-11_03:00:00,3.414,35.7,3.905,266.2,3.951,17.1
2019-01-11_04:00:00,2.120,56.9,2.033,283.5,2.057,33.7
2019-01-11_05:00:00,2.018,108.8,1.676,238.1,1.628,8.6
2019-01-11_06:00:00,1.602,200.9,1.076,67.0,1.022,180.2
2019-01-11_07:00:00,1.624,205.5,1.382,61.0,1.337,169.9
2019-01-11_08:00:00,1.041,175.7,0.935,29.1,1.130,131.7
2019-01-11_09:00:00,0.596,129.7,1.255,3.0,1.446,115.2
2019-01-11_10:00:00,0.670,81.3,1.160,328.3,1.251,80.7
2019-01-11_11:00:00,0.785,116.1,0.655,281.3,0.600,56.8
2019-01-11_12:00:00,1.240,74.4,1.275,271.7,1.249,5.5
2019-01-11_13:00:00,1.302,76.3,1.232,272.3,1.255,16.2
2019-01-11_14:00:00,0.938,61.8,1.265,250.3,1.375,354.2
2019-01-11_15:00:00,0.822,19.4,1.189,234.2,1.274,344.2
2019-01-11_16:00:00,0.734,148.1,0.864,3.1,0.898,111.5
2019-01-11_17:00:00,1.041,293.8,1.434,228.2,1.493,339.4
2019-01-11_18:00:00,0.597,133.2,0.715,311.3,0.833,48.1
2019-01-11_19:00:00,1.373,31.9,1.868,274.4,1.933,23.3
2019-01-11_20:00:00,1.357,49.0,1.973,284.4,2.094,34.0
2019-01-11_21:00:00,3.409,48.0,3.979,295.5,4.056,46.0
2019-01-11_22:00:00,2.658,66.2,2.939,306.0,3.012,56.6
2019-01-11_23:00:00,2.887,74.4,3.268,318.5,3.325,70.0
2019-01-12_00:00:00,3.361,86.7,3.852,327.6,3.870,79.9
2019-01-12_01:00:00,3.397,91.0,3.946,327.6,3.943,80.9
2019-01-12_02:00:00,3.695,77.0,4.106,311.4,4.123,62.5
2019-01-12_03:00:00,4.429,83.8,4.964,319.2,5.026,70.6
2019-01-12_04:00:00,5.173,80.1,5.552,315.7,5.556,68.0
2019-01-12_05:00:00,6.152,57.1,6.266,298.6,6.254,49.0
2019-01-12_06:00:00,6.109,63.2,6.470,303.2,6.606,54.1
2019-01-12_07:00:00,5.780,67.9,6.329,307.7,6.525,59.3
2019-01-12_08:00:00,6.050,62.6,6.611,304.0,6.762,55.4
2019-01-12_09:00:00,6.257,66.5,7.062,306.3,7.273,57.6
2019-01-12_10:00:00,6.675,60.7,7.293,301.5,7.525,52.5
2019-01-12_11:00:00,6.624,65.8,7.322,304.5,7.601,55.7
2019-01-12_12:00:00,5.826,61.8,6.508,303.0,6.682,53.8
2019-01-12_13:00:00,5.960,63.2,6.503,302.9,6.658,53.6
2019-01-12_14:00:00,7.022,57.9,7.815,299.1,7.949,49.5
2019-01-12_15:00:00,7.556,59.8,8.341,301.1,8.620,51.9
2019-01-12_16:00:00,7.142,57.0,8.460,297.4,8.704,48.1
2019-01-12_17:00:00,7.010,54.9,8.091,296.8,8.350,47.6
2019-01-12_18:00:00,6.944,60.9,7.585,300.7,7.821,51.6
2019-01-12_19:00:00,8.333,56.1,9.122,297.4,9.383,48.0
2019-01-12_20:00:00,8.706,54.2,9.909,295.6,10.226,45.7
2019-01-12_21:00:00,8.516,54.4,9.830,295.3,10.094,45.5
2019-01-12_22:00:00,8.457,54.1,10.222,294.3,10.557,44.4
2019-01-12_23:00:00,8.797,54.2,10.033,296.0,10.302,46.4
2019-01-13_00:00:00,7.644,55.3,8.800,293.9,9.079,44.3
2019-01-13_01:00:00,7.581,55.1,7.939,297.0,8.150,46.9
2019-01-13_02:00:00,8.078,54.1,9.028,291.7,9.288,41.5
2019-01-13_03:00:00,6.738,54.8,7.393,287.3,7.603,36.3
2019-01-13_04:00:00,6.483,55.8,7.015,294.8,7.212,44.4
2019-01-13_05:00:00,6.403,68.1,6.716,306.1,6.806,56.7
2019-01-13_06:00:00,5.632,61.7,6.170,302.9,6.353,53.5
2019-01-13_07:00:00,6.234,69.8,6.691,307.9,6.915,58.4
2019-01-13_08:00:00,7.632,78.4,8.913,314.2,9.049,65.7
2019-01-13_09:00:00,7.283,76.3,8.288,311.0,8.512,62.9
2019-01-13_10:00:00,7.413,70.6,8.307,307.6,8.556,58.7
2019-01-13_11:00:00,8.260,71.5,9.581,307.8,9.696,58.6
2019-01-13_12:00:00,7.525,69.5,8.331,307.6,8.623,58.5
2019-01-13_13:00:00,7.337,67.2,8.402,305.3,8.685,56.2
2019-01-13_14:00:00,8.896,58.8,9.875,300.0,10.079,50.4
2019-01-13_15:00:00,9.018,56.5,10.912,296.6,11.268,47.0
2019-01-13_16:00:00,9.319,56.1,11.137,295.6,11.424,46.1
2019-01-13_17:00:00,9.247,58.2,10.713,297.9,11.065,48.4
2019-01-13_18:00:00,8.604,53.8,10.379,292.2,10.706,42.3
2019-01-13_19:00:00,9.138,50.0,11.051,289.4,11.490,39.3
2019-01-13_20:00:00,6.858,58.1,8.253,296.9,8.580,47.7
2019-01-13_21:00:00,7.184,56.7,8.141,297.6,8.396,48.2
2019-01-13_22:00:00,8.885,55.8,10.056,295.4,10.354,46.1
2019-01-13_23:00:00,7.856,54.0,9.400,294.0,9.707,44.1
2019-01-14_00:00:00,7.635,55.8,9.067,289.6,9.448,39.6
2019-01-14_01:00:00,8.338,48.6,9.779,284.5,10.151,34.2
2019-01-14_02:00:00,7.684,44.2,8.517,282.5,8.788,31.9
2019-01-14_03:00:00,7.486,46.3,7.992,280.5,8.168,29.9
2019-01-14_04:00:00,7.155,51.6,7.987,284.8,8.211,34.0
2019-01-14_05:00:00,7.990,58.0,8.871,294.9,9.061,44.2
2019-01-14_06:00:00,7.609,65.9,8.153,305.0,8.237,55.9
2019-01-14_07:00:00,6.520,65.6,7.227,304.6,7.364,55.5
2019-01-14_08:00:00,7.498,69.9,8.248,304.4,8.388,55.7
2019-01-14_09:00:00,7.381,65.7,8.271,304.5,8.533,55.5
2019-01-14_10:00:00,7.749,59.3,8.570,299.2,8.809,50.0
2019-01-14_11:00:00,8.473,55.3,9.488,295.6,9.800,45.9
2019-01-14_12:00:00,7.070,53.2,8.457,291.6,8.700,41.5
2019-01-14_13:00:00,6.891,44.5,8.316,284.4,8.583,34.3
2019-01-14_14:00:00,6.498,40.5,7.582,280.6,7.827,30.3
2019-01-14_15:00:00,7.468,38.2,8.408,275.6,8.689,25.0
2019-01-14_16:00:00,6.767,29.1,8.207,271.1,8.357,20.6
2019-01-14_17:00:00,5.538,36.1,7.513,282.8,7.953,32.8
2019-01-14_18:00:00,5.451,46.4,7.546,287.8,7.943,37.1
2019-01-14_19:00:00,4.555,41.6,6.136,284.2,6.488,33.5
2019-01-14_20:00:00,5.231,43.4,7.361,286.6,7.803,36.3
2019-01-14_21:00:00,5.667,40.3,7.422,282.4,7.769,32.2
2019-01-14_22:00:00,5.442,46.6,7.332,290.0,7.666,39.8
2019-01-14_23:00:00,4.673,46.6,6.556,288.6,6.975,38.1
2019-01-15_00:00:00,4.920,48.9,6.345,291.5,6.611,41.4
2019-01-15_01:00:00,5.616,53.3,6.809,290.5,7.058,40.1
2019-01-15_02:00:00,5.914,51.2,6.642,291.8,6.798,41.4
2019-01-15_03:00:00,5.727,54.1,6.393,292.6,6.563,42.3
2019-01-15_04:00:00,5.815,59.9,6.503,298.7,6.629,49.0
2019-01-15_05:00:00,5.961,57.2,6.381,296.9,6.508,46.5
2019-01-15_06:00:00,5.768,59.3,6.498,298.7,6.561,48.4
2019-01-15_07:00:00,6.521,60.1,7.137,298.7,7.423,48.5
2019-01-15_08:00:00,8.332,72.2,9.446,310.9,9.664,61.8
2019-01-15_09:00:00,9.035,72.8,10.858,310.7,11.075,62.1
2019-01-15_10:00:00,10.058,72.3,11.572,309.8,11.871,61.3
2019-01-15_11:00:00,10.012,68.9,11.131,306.9,11.386,57.8
2019-01-15_12:00:00,9.972,67.7,11.310,306.0,11.590,56.6
2019-01-15_13:00:00,11.171,62.5,12.533,301.8,12.792,52.5
2019-01-15_14:00:00,11.043,62.5,12.800,302.0,13.107,52.8
2019-01-15_15:00:00,12.277,62.6,14.262,301.7,14.706,52.3
2019-01-15_16:00:00,12.847,61.9,14.944,301.7,15.419,52.4
2019-01-15_17:00:00,12.898,63.4,15.123,303.5,15.569,54.2
